Game Title,Platform,Link
Minit,Epic,https://www.metacritic.com/game/pc/minit
Moonlighter,Epic,https://www.metacritic.com/game/pc/moonlighter
Mothergunship,Epic,https://www.metacritic.com/game/pc/mothergunship
My time at Portia,Epic,https://www.metacritic.com/game/pc/my-time-at-portia
NBA 2K21,Epic,https://www.metacritic.com/game/pc/nba-2k21
Neverwinter ,Epic,https://www.metacritic.com/game/pc/neverwinter
Night in the Woods,Epic,https://www.metacritic.com/game/switch/night-in-the-woods
Nioh: The complete edition,Epic,https://www.metacritic.com/game/pc/nioh-complete-edition
Nuclear Throne,Epic,https://www.metacritic.com/game/pc/nuclear-throne
Obduction,Epic,https://www.metacritic.com/game/pc/obduction
Oddworld: New'n' Tasty,Epic,https://www.metacritic.com/game/pc/oddworld-abes-oddysee---new-n-tasty
Overcooked,Epic,https://www.metacritic.com/game/pc/overcooked!
Overcooked! 2 ,Epic,https://www.metacritic.com/game/pc/overcooked!-2
Pathway,Epic,https://www.metacritic.com/game/pc/pathway
Phantasy Star Online 2 New Genesis,Epic,https://www.metacritic.com/game/pc/phantasy-star-online-2-new-genesis
Pikuniku,Epic,https://www.metacritic.com/game/pc/pikuniku
Pillars of Eternity - Definitive Edition,Epic,https://www.metacritic.com/game/pc/pillars-of-eternity
Pine,Epic,https://www.metacritic.com/game/pc/pine
Q.U.B.E. 2,Epic,https://www.metacritic.com/game/pc/qube-2
Rage 2,Epic,https://www.metacritic.com/game/playstation-4/rage-2
Rebel Galaxy,Epic,https://www.metacritic.com/game/pc/rebel-galaxy
RiME,Epic,https://www.metacritic.com/game/pc/rime
Rise of the Tomb Raider: 20 Year Celebration,Epic,https://www.metacritic.com/game/pc/rise-of-the-tomb-raider-20-year-celebration
Rising Storm 2: Vietnam,Epic,https://www.metacritic.com/game/pc/rising-storm-2-vietnam
Rocket League,Epic,https://www.metacritic.com/game/pc/rocket-league
Ruiner,Epic,https://www.metacritic.com/game/pc/ruiner
samurai shodown Neogeo collection,Epic,https://www.metacritic.com/game/pc/samurai-shodown
Sheltered,Epic,https://www.metacritic.com/game/pc/sheltered
Solitairica,Epic,https://www.metacritic.com/game/pc/solitairica
Sonic Mania,Epic,https://www.metacritic.com/game/pc/sonic-mania
Speed Brawl,Epic,https://www.metacritic.com/game/pc/speed-brawl
Star Wars Battlefront II,Epic,https://www.metacritic.com/game/pc/star-wars-battlefront-ii
Steep,Epic,https://www.metacritic.com/game/pc/steep
Stories Untold,Epic,https://www.metacritic.com/game/pc/stories-untold
Stranded Deep,Epic,https://www.metacritic.com/game/pc/stranded-deep
Stranger Things 3: The Game,Epic,https://www.metacritic.com/game/pc/stranger-things-3-the-game
Stubbs the Zombie in Rebel Without a Pulse,Epic,https://www.metacritic.com/game/pc/stubbs-the-zombie-in-rebel-without-a-pulse
Subnautica,Epic,https://www.metacritic.com/game/pc/subnautica
Sundered Eldritch Edition,Epic,https://www.metacritic.com/game/pc/sundered
Sunless Sea,Epic,https://www.metacritic.com/game/pc/sunless-sea
Surviving Mars,Epic,https://www.metacritic.com/game/pc/surviving-mars
Tales of the Neon Sea,Epic,https://www.metacritic.com/game/pc/tales-of-the-neon-sea
Tharsis,Epic,https://www.metacritic.com/game/pc/tharsis
The End is Nigh ,Epic,https://www.metacritic.com/game/pc/the-end-is-nigh
The Escapists,Epic,https://www.metacritic.com/game/pc/the-escapists
The Escapists 2,Epic,https://www.metacritic.com/game/pc/the-escapists-2
The Long Dark,Epic,https://www.metacritic.com/game/pc/the-long-dark
The Messenger,Epic,https://www.metacritic.com/game/pc/the-messenger
The Spectrum Retreat,Epic,https://www.metacritic.com/game/pc/the-spectrum-retreat
The Stanley Parable,Epic,https://www.metacritic.com/game/pc/the-stanley-parable
The Textorcist,Epic,https://www.metacritic.com/game/pc/the-textorcist-the-story-of-ray-bibbia
The Wolf Among Us,Epic,https://www.metacritic.com/game/pc/the-wolf-among-us
This War of Mine,Epic,https://www.metacritic.com/game/pc/this-war-of-mine
Ticket to Ride,Epic,https://www.metacritic.com/game/pc/ticket-to-ride
